epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
118,973.218,0.03088,0.9115,1,0.98926,0.000300487,0.000300487,0.000300487
119,979.757,0.03567,0.92035,1,0.99768,0.000296953,0.000296953,0.000296953
120,989.402,0.08701,0.92035,1,0.99329,0.000293418,0.000293418,0.000293418
121,996.146,0.03381,0.93805,1,0.98523,0.000289884,0.000289884,0.000289884
122,1006.02,0.02348,0.92035,1,0.99158,0.00028635,0.00028635,0.00028635
123,1012.96,0.02438,0.9292,1,0.99011,0.000282815,0.000282815,0.000282815
124,1021.24,0.03102,0.9292,1,0.99121,0.000279281,0.000279281,0.000279281
125,1029.33,0.03683,0.93805,1,0.98669,0.000275747,0.000275747,0.000275747
126,2074.78,0.02852,0.90265,1,1.01038,0.000272212,0.000272212,0.000272212
127,2082.55,0.05531,0.89381,1,1.00317,0.000268678,0.000268678,0.000268678
128,2091.04,0.03418,0.89381,1,1.01355,0.000265144,0.000265144,0.000265144
129,2097.74,0.02654,0.89381,1,1.0199,0.00026161,0.00026161,0.00026161
130,2107.64,0.03162,0.92035,1,1.00171,0.000258075,0.000258075,0.000258075
131,2114.27,0.01764,0.88496,1,1.02258,0.000254541,0.000254541,0.000254541
132,2124.08,0.02108,0.9115,1,1.0094,0.000251007,0.000251007,0.000251007
133,2130.62,0.02354,0.92035,1,1.02173,0.000247472,0.000247472,0.000247472
134,2139.35,0.01645,0.9115,1,1.00684,0.000243938,0.000243938,0.000243938
135,2146.66,0.03278,0.92035,1,0.99036,0.000240404,0.000240404,0.000240404
136,2154.38,0.03035,0.9115,1,0.99121,0.000236869,0.000236869,0.000236869
137,2162.96,0.0466,0.9115,1,1.00903,0.000233335,0.000233335,0.000233335
138,2169.82,0.03316,0.86726,1,1.03955,0.000229801,0.000229801,0.000229801
139,2179.57,0.04315,0.88496,1,1.0105,0.000226267,0.000226267,0.000226267
140,2185.95,0.02468,0.89381,1,1.02771,0.000222732,0.000222732,0.000222732
141,2196.1,0.0158,0.89381,1,1.00146,0.000219198,0.000219198,0.000219198
142,2202.58,0.03129,0.90265,1,1.01477,0.000215664,0.000215664,0.000215664
143,2211.04,0.03705,0.9115,1,1.0083,0.000212129,0.000212129,0.000212129
144,2218.49,0.00878,0.89381,1,1.01245,0.000208595,0.000208595,0.000208595
145,2226.35,0.01599,0.90265,1,1.00098,0.000205061,0.000205061,0.000205061
146,2235.75,0.01348,0.9115,1,0.99841,0.000201527,0.000201527,0.000201527
147,2242.5,0.01956,0.92035,1,0.98938,0.000197992,0.000197992,0.000197992
148,2252.37,0.03458,0.9115,1,0.9906,0.000194458,0.000194458,0.000194458
149,2259.03,0.02321,0.93805,1,0.99719,0.000190924,0.000190924,0.000190924
150,2268.61,0.02214,0.93805,1,0.99377,0.000187389,0.000187389,0.000187389
151,2275.3,0.00707,0.93805,1,0.98181,0.000183855,0.000183855,0.000183855
152,2285.1,0.00794,0.9469,1,0.9657,0.000180321,0.000180321,0.000180321
153,2292.26,0.01037,0.92035,1,0.9895,0.000176786,0.000176786,0.000176786
154,2300.08,0.01621,0.92035,1,0.98181,0.000173252,0.000173252,0.000173252
155,2309.01,0.01122,0.92035,1,0.98193,0.000169718,0.000169718,0.000169718
156,2315.73,0.00755,0.9115,1,0.98669,0.000166183,0.000166183,0.000166183
157,2325.9,0.02541,0.90265,1,0.99585,0.000162649,0.000162649,0.000162649
158,2332.37,0.00705,0.90265,1,1.00537,0.000159115,0.000159115,0.000159115
159,2341.83,0.00675,0.90265,1,0.99023,0.000155581,0.000155581,0.000155581
160,2348.48,0.03843,0.89381,1,1.00732,0.000152046,0.000152046,0.000152046
161,2357.52,0.01698,0.89381,1,0.99988,0.000148512,0.000148512,0.000148512
162,2364.72,0.01294,0.9115,1,1.0061,0.000144978,0.000144978,0.000144978
163,2372.31,0.01936,0.92035,1,0.99146,0.000141443,0.000141443,0.000141443
164,2381.14,0.00606,0.9292,1,0.97803,0.000137909,0.000137909,0.000137909
165,2387.81,0.01404,0.9469,1,0.96643,0.000134375,0.000134375,0.000134375
166,2397.79,0.016,0.9292,1,0.98291,0.000130841,0.000130841,0.000130841
167,2408.2,0.01286,0.9292,1,0.98083,0.000127306,0.000127306,0.000127306
168,2416.75,0.02637,0.90265,1,1.00317,0.000123772,0.000123772,0.000123772
169,2423.4,0.01839,0.90265,1,1.00818,0.000120238,0.000120238,0.000120238
170,2433.23,0.02228,0.88496,1,1.01526,0.000116703,0.000116703,0.000116703
171,2439.75,0.0288,0.90265,1,0.9978,0.000113169,0.000113169,0.000113169
172,2449.73,0.02199,0.90265,1,0.99731,0.000109635,0.000109635,0.000109635
173,2456.17,0.00955,0.90265,1,1.00122,0.0001061,0.0001061,0.0001061
174,2465.8,0.03952,0.92035,1,0.99207,0.000102566,0.000102566,0.000102566
175,2473.21,0.07532,0.9292,1,0.98157,9.90318e-05,9.90318e-05,9.90318e-05
176,2480.91,0.02453,0.9292,1,0.98206,9.54975e-05,9.54975e-05,9.54975e-05
177,2489.89,0.01042,0.9469,1,0.97607,9.19632e-05,9.19632e-05,9.19632e-05
178,2496.26,0.00835,0.9469,1,0.98962,8.84289e-05,8.84289e-05,8.84289e-05
179,2506.29,0.0118,0.92035,1,1.00195,8.48946e-05,8.48946e-05,8.48946e-05
180,2512.91,0.01579,0.92035,1,0.99036,8.13603e-05,8.13603e-05,8.13603e-05
181,2522.11,0.02342,0.93805,1,0.98193,7.7826e-05,7.7826e-05,7.7826e-05
182,2529.18,0.01867,0.92035,1,0.98108,7.42917e-05,7.42917e-05,7.42917e-05
183,2537.66,0.03058,0.9292,1,0.97754,7.07574e-05,7.07574e-05,7.07574e-05
184,2546.3,0.01797,0.92035,1,0.99438,6.72231e-05,6.72231e-05,6.72231e-05
185,2553.09,0.02254,0.9292,1,0.97034,6.36888e-05,6.36888e-05,6.36888e-05
186,2562.5,0.00685,0.9115,1,0.98096,6.01545e-05,6.01545e-05,6.01545e-05
187,2569.16,0.02328,0.90265,1,0.9917,5.66202e-05,5.66202e-05,5.66202e-05
188,2578.55,0.0072,0.90265,1,1.0022,5.30859e-05,5.30859e-05,5.30859e-05
189,2585.09,0.00681,0.89381,1,0.99414,4.95516e-05,4.95516e-05,4.95516e-05
190,2594.61,0.02418,0.90265,1,0.99951,4.60173e-05,4.60173e-05,4.60173e-05
191,2602.74,0.00663,0.90265,1,0.99609,4.2483e-05,4.2483e-05,4.2483e-05
192,2611.8,0.01401,0.9115,1,0.99524,3.89487e-05,3.89487e-05,3.89487e-05
193,2619.15,0.01127,0.9292,1,0.9834,3.54144e-05,3.54144e-05,3.54144e-05
194,2626.86,0.01573,0.9115,1,0.99255,3.18801e-05,3.18801e-05,3.18801e-05
195,2635.54,0.18589,0.9292,1,0.98486,2.83458e-05,2.83458e-05,2.83458e-05
196,2642.38,0.00555,0.9469,1,0.97644,2.48115e-05,2.48115e-05,2.48115e-05
197,2651.8,0.01086,0.9292,1,0.97595,2.12772e-05,2.12772e-05,2.12772e-05
198,2658.46,0.01485,0.9292,1,0.98267,1.77429e-05,1.77429e-05,1.77429e-05
199,2668.68,0.02872,0.9292,1,0.98047,1.42086e-05,1.42086e-05,1.42086e-05
200,2675.41,0.0047,0.9292,1,0.97876,1.06743e-05,1.06743e-05,1.06743e-05
